company,cik,ticker,fiscal_year,concept,value,source_tag,end_date,filed,accn,sec_fy
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",0000109380,ZION,2025,Equity,7180000000,StockholdersEquity,2025-12-31,2026-02-24,0000109380-26-000046,2025
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",0000109380,ZION,2024,NetIncome,784000000,NetIncomeLoss,2024-12-31,2026-02-24,0000109380-26-000046,2025
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",0000109380,ZION,2025,NetIncome,899000000,NetIncomeLoss,2025-12-31,2026-02-24,0000109380-26-000046,2025
WESTERN ALLIANCE BANCORPORATION,0001212545,WAL,2024,Assets,80934000000,Assets,2024-12-31,2026-02-23,0001628280-26-010336,2025
WESTERN ALLIANCE BANCORPORATION,0001212545,WAL,2025,Assets,92774000000,Assets,2025-12-31,2026-02-23,0001628280-26-010336,2025
WESTERN ALLIANCE BANCORPORATION,0001212545,WAL,2024,Liabilities,74227000000,Liabilities,2024-12-31,2026-02-23,0001628280-26-010336,2025
WESTERN ALLIANCE BANCORPORATION,0001212545,WAL,2025,Liabilities,84828000000,Liabilities,2025-12-31,2026-02-23,0001628280-26-010336,2025
WESTERN ALLIANCE BANCORPORATION,0001212545,WAL,2024,Equity,6707500000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2024-12-31,2026-02-23,0001628280-26-010336,2025
WESTERN ALLIANCE BANCORPORATION,0001212545,WAL,2025,Equity,7945900000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2025-12-31,2026-02-23,0001628280-26-010336,2025
WESTERN ALLIANCE BANCORPORATION,0001212545,WAL,2024,NetIncome,787700000,NetIncomeLoss,2024-12-31,2026-02-23,0001628280-26-010336,2025
WESTERN ALLIANCE BANCORPORATION,0001212545,WAL,2025,NetIncome,969000000,NetIncomeLoss,2025-12-31,2026-02-23,0001628280-26-010336,2025
EAST WEST BANCORP INC,0001069157,EWBC,2024,Assets,75976475000,Assets,2024-12-31,2026-02-27,0001069157-26-000009,2025
